Airfoil1
0 101 101 0.0 1.0

0 0
0.00011163 0.00240417
0.0004465 0.00480075
0.00100458 0.00718221
0.0017858 0.00954122
0.00279009 0.0118706
0.00401734 0.0141637
0.00546741 0.016414
0.00714017 0.0186154
0.00903541 0.0207627
0.011153 0.0228508
0.0134926 0.0248754
0.016054 0.026833
0.018837 0.0287203
0.0218412 0.0305353
0.0250663 0.0322761
0.028512 0.0339417
0.0321778 0.0355321
0.0360635 0.0370473
0.0401685 0.0384885
0.0444925 0.0398573
0.0490349 0.0411556
0.0537952 0.0423861
0.0587729 0.0435519
0.0639674 0.0446563
0.0693783 0.045703
0.0750047 0.0466958
0.0808462 0.047639
0.086902 0.0485365
0.0931714 0.0493927
0.0996537 0.0502115
0.106348 0.0509969
0.113254 0.0517528
0.12037 0.0524826
0.127696 0.0531896
0.135231 0.0538765
0.142974 0.0545459
0.150924 0.0551997
0.15908 0.0558396
0.167441 0.0564667
0.176005 0.0570816
0.184773 0.0576845
0.193742 0.0582751
0.202912 0.0588528
0.212282 0.0594165
0.221849 0.0599646
0.231614 0.0604956
0.241574 0.0610072
0.251729 0.0614973
0.262077 0.0619636
0.272616 0.0624036
0.283346 0.0628148
0.294264 0.0631948
0.30537 0.0635413
0.316661 0.0638522
0.328136 0.0641255
0.339793 0.0643595
0.351631 0.0645529
0.363649 0.0647048
0.375843 0.0648143
0.388213 0.0648812
0.400756 0.0649055
0.413471 0.0648875
0.426355 0.064828
0.439407 0.0647278
0.452625 0.0645881
0.466006 0.06441
0.479549 0.0641948
0.493251 0.0639437
0.50711 0.0636576
0.521124 0.0633372
0.53529 0.0629827
0.549606 0.0625938
0.564069 0.0621692
0.578678 0.0617071
0.593429 0.0612045
0.60832 0.0606572
0.623348 0.0600599
0.638511 0.0594058
0.653806 0.0586866
0.66923 0.0578925
0.68478 0.0570121
0.700453 0.0560323
0.716247 0.0549383
0.732158 0.0537139
0.748183 0.0523411
0.764319 0.0508008
0.780563 0.0490725
0.796911 0.0471347
0.813361 0.0449651
0.829909 0.0425413
0.846552 0.0398406
0.863286 0.0368408
0.880107 0.0335205
0.897012 0.0298601
0.913998 0.0258418
0.93106 0.0214507
0.948195 0.0166754
0.9654 0.0115088
0.982669 0.005949
1 0
0 0
0.00011163 -0.0023193
0.0004465 -0.00463455
0.00100458 -0.00694171
0.0017858 -0.0092367
0.00279009 -0.0115155
0.00401734 -0.013774
0.00546741 -0.0160081
0.00714017 -0.0182139
0.00903541 -0.0203871
0.011153 -0.0225239
0.0134926 -0.0246201
0.016054 -0.026672
0.018837 -0.0286757
0.0218412 -0.0306274
0.0250663 -0.0325235
0.028512 -0.0343608
0.0321778 -0.0361361
0.0360635 -0.0378464
0.0401685 -0.0394891
0.0444925 -0.041062
0.0490349 -0.0425632
0.0537952 -0.0439912
0.0587729 -0.0453451
0.0639674 -0.0466242
0.0693783 -0.0478286
0.0750047 -0.0489588
0.0808462 -0.050016
0.086902 -0.0510016
0.0931714 -0.0519179
0.0996537 -0.0527677
0.106348 -0.0535542
0.113254 -0.0542811
0.12037 -0.0549526
0.127696 -0.0555733
0.135231 -0.0561482
0.142974 -0.0566823
0.150924 -0.057181
0.15908 -0.0576497
0.167441 -0.0580937
0.176005 -0.0585183
0.184773 -0.0589284
0.193742 -0.0593284
0.202912 -0.0597225
0.212282 -0.060114
0.221849 -0.0605054
0.231614 -0.0608985
0.241574 -0.061294
0.251729 -0.0616914
0.262077 -0.062089
0.272616 -0.0624839
0.283346 -0.0628719
0.294264 -0.0632472
0.30537 -0.0636027
0.316661 -0.0639298
0.328136 -0.0642186
0.339793 -0.0644578
0.351631 -0.0646349
0.363649 -0.0647362
0.375843 -0.0647471
0.388213 -0.064652
0.400756 -0.0644349
0.413471 -0.0640794
0.426355 -0.063569
0.439407 -0.0628873
0.452625 -0.0620186
0.466006 -0.0609481
0.479549 -0.0596621
0.493251 -0.0581487
0.50711 -0.0563979
0.521124 -0.0544022
0.53529 -0.052157
0.549606 -0.0496608
0.564069 -0.0469156
0.578678 -0.0439275
0.593429 -0.0407068
0.60832 -0.0372683
0.623348 -0.0336317
0.638511 -0.0298213
0.653806 -0.0258669
0.66923 -0.021803
0.68478 -0.0176695
0.700453 -0.0135109
0.716247 -0.00937674
0.732158 -0.00532067
0.748183 -0.00140034
0.764319 0.00232323
0.780563 0.00578637
0.796911 0.00892355
0.813361 0.0116684
0.829909 0.0139545
0.846552 0.0157173
0.863286 0.0168945
0.880107 0.0174285
0.897012 0.0172672
0.913998 0.0163664
0.93106 0.0146914
0.948195 0.0122188
0.9654 0.00893892
0.982669 0.00485795
1 0
