1 0
0.97222 0.0083872
0.94444 0.014974
0.91667 0.020105
0.88889 0.024075
0.86111 0.02713
0.83333 0.029472
0.80556 0.031269
0.77778 0.032652
0.75 0.033725
0.72222 0.034564
0.69444 0.035225
0.66667 0.035746
0.63889 0.036148
0.61111 0.036442
0.58333 0.036629
0.55556 0.036702
0.52778 0.036652
0.5 0.036466
0.47222 0.036133
0.44444 0.03564
0.41667 0.03498
0.38889 0.034147
0.36111 0.033143
0.33333 0.03197
0.30556 0.030639
0.27778 0.029164
0.25 0.027562
0.22222 0.025852
0.19444 0.024053
0.16667 0.022176
0.13889 0.02022
0.11111 0.018157
0.083333 0.015907
0.055556 0.013273
0.027778 0.0097139
0 0
0.027778 -0.046929
0.055556 -0.061074
0.083333 -0.068554
0.11111 -0.072287
0.13889 -0.073568
0.16667 -0.07315
0.19444 -0.071528
0.22222 -0.069048
0.25 -0.065957
0.27778 -0.062429
0.30556 -0.058584
0.33333 -0.054503
0.36111 -0.050231
0.38889 -0.045792
0.41667 -0.041194
0.44444 -0.036435
0.47222 -0.031507
0.5 -0.026407
0.52778 -0.021137
0.55556 -0.01571
0.58333 -0.010154
0.61111 -0.004517
0.63889 0.001132
0.66667 0.0067004
0.69444 0.01207
0.72222 0.017095
0.75 0.021606
0.77778 0.025405
0.80556 0.02827
0.83333 0.029959
0.86111 0.030208
0.88889 0.028742
0.91667 0.025274
0.94444 0.019515
0.97222 0.011181
1 0
